Mon Aug 17 08:21:21 2020    profile/ladder

         1163977 function calls (1161708 primitive calls) in 64.321 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       74   59.676    0.806   60.047    0.811 /home/mary/mypydmrg/fermionic/baseop.py:98(add_hopping_term)
       32    1.812    0.057    1.857    0.058 /home/mary/mypydmrg/dmrghelpers/superblockhelper.py:82(rightext_oper_to_superblock)
        8    0.574    0.072    0.742    0.093 /home/mary/mypydmrg/dmrghelpers/superblockhelper.py:60(rightext_hamiltonian_to_superblock)
       86    0.371    0.004    0.371    0.004 /home/mary/mypydmrg/fermionic/baseop.py:84(addnewterm)
    60512    0.349    0.000    0.423    0.000 /home/mary/mypydmrg/fermionic/block.py:389(idx_to_idxpair)
       52    0.209    0.004    0.209    0.004 /home/mary/mypydmrg/fermionic/baseop.py:128(get_block)
        8    0.172    0.022    0.173    0.022 /home/mary/mypydmrg/dmrghelpers/hamhelper.py:73(plus_two_hamiltonian)
      152    0.113    0.001    0.115    0.001 /home/mary/.local/lib/python3.8/site-packages/numpy/linalg/linalg.py:1337(eigh)
    38535    0.112    0.000    0.159    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/lib/twodim_base.py:152(eye)
        8    0.100    0.013   63.344    7.918 /home/mary/mypydmrg/dmrg/dmrg_iter.py:14(get_superblock_ham)
       32    0.097    0.003    0.124    0.004 /home/mary/mypydmrg/dmrghelpers/superblockhelper.py:39(leftext_oper_to_superblock)
    39411    0.078    0.000    0.078    0.000 {built-in method numpy.zeros}
    60880    0.062    0.000    0.062    0.000 {method 'astype' of 'numpy.generic' objects}
        4    0.039    0.010   34.041    8.510 /home/mary/mypydmrg/dmrg/dmrg_left_to_right.py:18(leftblockextend_to_next)
        4    0.036    0.009   30.063    7.516 /home/mary/mypydmrg/dmrg/dmrg_right_to_left.py:22(rightblockextend_to_next)
        5    0.034    0.007    0.456    0.091 /home/mary/mypydmrg/dmrghelpers/hamhelper.py:44(extend_rightblock_hamiltonian)
        8    0.031    0.004    0.033    0.004 /home/mary/mypydmrg/dmrghelpers/superblockhelper.py:18(leftext_hamiltonian_to_superblock)
       19    0.030    0.002    0.034    0.002 {built-in method _imp.create_dynamic}
       18    0.029    0.002    0.031    0.002 /home/mary/mypydmrg/dmrghelpers/operhelper.py:201(rightblock_extend_oper)
        8    0.023    0.003    0.029    0.004 /home/mary/mypydmrg/dmrg/dmrg_iter.py:79(get_density_root)
   210128    0.022    0.000    0.022    0.000 /home/mary/mypydmrg/basics/basis.py:392(iter_idx)
      131    0.020    0.000    0.020    0.000 {method 'read' of '_io.BufferedReader' objects}
      131    0.019    0.000    0.019    0.000 {built-in method marshal.loads}
     2120    0.019    0.000    0.019    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      316    0.019    0.000    0.019    0.000 {built-in method builtins.compile}
    22080    0.016    0.000    0.018    0.000 /home/mary/mypydmrg/fermionic/block.py:396(idxpair_to_idx)
    22080    0.015    0.000    0.015    0.000 /home/mary/mypydmrg/basics/basis.py:309(sitecode_to_idx)
   143211    0.015    0.000    0.015    0.000 /home/mary/mypydmrg/basics/basis.py:137(dim)
   164492    0.014    0.000    0.014    0.000 /home/mary/mypydmrg/fermionic/baseop.py:24(mat)
       21    0.010    0.000    0.012    0.001 /home/mary/mypydmrg/dmrghelpers/operhelper.py:121(leftsite_extend_oper)
    26881    0.009    0.000    0.014    0.000 /home/mary/mypydmrg/fermionic/block.py:216(spin_nums)
    22088    0.009    0.000    0.010    0.000 /home/mary/mypydmrg/basics/basis.py:377(__add_one)
    24857    0.008    0.000    0.013    0.000 /home/mary/mypydmrg/fermionic/block.py:368(spin_nums)
    174/5    0.007    0.000    0.197    0.039 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
  274/273    0.006    0.000    0.010    0.000 {built-in method builtins.__build_class__}
    22080    0.006    0.000    0.009    0.000 /home/mary/mypydmrg/fermionic/block.py:245(idxpair_to_idx)
      681    0.005    0.000    0.005    0.000 {built-in method posix.stat}
