Wed Aug 26 14:44:09 2020    profile/one_dim.out

         4791189 function calls (4776247 primitive calls) in 5.154 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    591/1    0.002    0.000    5.154    5.154 {built-in method builtins.exec}
        1    0.000    0.000    5.154    5.154 examples/one_dim_hubbard.py:1(<module>)
        1    0.000    0.000    5.008    5.008 examples/one_dim_hubbard.py:8(main)
        1    0.002    0.002    4.996    4.996 /home/mary/mypydmrg/dmrg/__init__.py:15(standard_dmrg)
        8    0.122    0.015    2.223    0.278 /home/mary/mypydmrg/dmrg/dmrg_iter.py:14(get_superblock_ham)
      232    0.406    0.002    2.165    0.009 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/construct.py:504(bmat)
27608/17967    0.120    0.000    1.985    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/coo.py:126(__init__)
        4    0.002    0.000    1.778    0.444 /home/mary/mypydmrg/dmrg/dmrg_left_to_right.py:19(leftblockextend_to_next)
       36    0.013    0.000    1.476    0.041 /home/mary/mypydmrg/dmrg/dmrg_measure.py:44(measure_corr_of_2sites)
        4    0.003    0.001    1.343    0.336 /home/mary/mypydmrg/dmrg/dmrg_right_to_left.py:23(rightblockextend_to_next)
    27608    0.506    0.000    1.298    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/coo.py:265(_check)
       39    0.013    0.000    1.215    0.031 /home/mary/mypydmrg/dmrghelpers/superblockhelper.py:84(rightext_oper_to_superblock)
       32    0.034    0.001    1.190    0.037 /home/mary/mypydmrg/fermionic/baseop.py:148(superblock_add_hopping_term)
10172/9716    0.054    0.000    0.853    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/compressed.py:27(__init__)
    16299    0.034    0.000    0.834    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/_index.py:32(__getitem__)
     8711    0.068    0.000    0.831    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/compressed.py:1009(tocoo)
        8    0.007    0.001    0.697    0.087 /home/mary/mypydmrg/dmrghelpers/superblockhelper.py:55(rightext_hamiltonian_to_superblock)
    65226    0.220    0.000    0.601    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/sputils.py:119(get_index_dtype)
     6015    0.006    0.000    0.554    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/compressed.py:363(multiply)
     6051    0.025    0.000    0.546    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/data.py:123(_mul_scalar)
     6039    0.016    0.000    0.520    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/compressed.py:1196(_with_data)
    18756    0.045    0.000    0.497    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/_index.py:126(_validate_indices)
    10172    0.174    0.000    0.474    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/compressed.py:135(check_format)
      103    0.008    0.000    0.453    0.004 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/construct.py:628(block_diag)
   101529    0.420    0.000    0.420    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1736    0.008    0.000    0.379    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/base.py:86(reshape)
   291167    0.351    0.000    0.352    0.000 {built-in method numpy.array}
127001/126067    0.140    0.000    0.334    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    62531    0.058    0.000    0.280    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/sputils.py:186(isintlike)
       39    0.002    0.000    0.266    0.007 /home/mary/mypydmrg/dmrghelpers/superblockhelper.py:37(leftext_oper_to_superblock)
    18756    0.094    0.000    0.256    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/_index.py:245(_unpack_index)
    74617    0.036    0.000    0.252    0.000 <__array_function__ internals>:2(ndim)
        3    0.001    0.000    0.249    0.083 /home/mary/mypydmrg/dmrg/nrg_iter.py:20(leftblock_to_next)
     2971    0.017    0.000    0.238    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/dok.py:389(tocoo)
   201305    0.040    0.000    0.234    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/_asarray.py:14(asarray)
    44134    0.021    0.000    0.229    0.000 {method 'max' of 'numpy.ndarray' objects}
       21    0.003    0.000    0.220    0.010 /home/mary/mypydmrg/dmrghelpers/operhelper.py:206(rightblock_extend_oper)
   130460    0.219    0.000    0.219    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/getlimits.py:498(__init__)
    44134    0.011    0.000    0.208    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/_methods.py:37(_amax)
        7    0.010    0.001    0.197    0.028 /home/mary/mypydmrg/dmrghelpers/blockhelper.py:42(update_to_leftblock)
    44601    0.138    0.000    0.193    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/sputils.py:265(check_shape)
     1736    0.020    0.000    0.192    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/coo.py:198(reshape)
    44134    0.020    0.000    0.188    0.000 {method 'min' of 'numpy.ndarray' objects}
     1672    0.002    0.000    0.170    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/csc.py:214(_get_sliceXint)
     1761    0.009    0.000    0.169    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/compressed.py:777(_get_submatrix)
    44134    0.009    0.000    0.168    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/_methods.py:41(_amin)
    26743    0.042    0.000    0.162    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/sputils.py:208(isshape)
      952    0.003    0.000    0.159    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/base.py:453(__mul__)
   116756    0.048    0.000    0.153    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/base.py:238(nnz)
    328/3    0.001    0.000    0.146    0.049 <frozen importlib._bootstrap>:986(_find_and_load)
    328/3    0.001    0.000    0.146    0.049 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    310/4    0.001    0.000    0.145    0.036 <frozen importlib._bootstrap>:650(_load_unlocked)
     2457    0.009    0.000    0.145    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/_index.py:75(__setitem__)
    244/4    0.000    0.000    0.145    0.036 <frozen importlib._bootstrap_external>:777(exec_module)
    456/4    0.000    0.000    0.145    0.036 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.141    0.141 /home/mary/mypydmrg/dmrg/__init__.py:1(<module>)
    74617    0.081    0.000    0.141    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3075(ndim)
    11251    0.024    0.000    0.133    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/compressed.py:641(_get_intXint)
        6    0.001    0.000    0.126    0.021 /home/mary/mypydmrg/dmrg/dmrg_measure.py:12(measure_oper_of_site)
